order_id,payment_id,category,ground_truth_label,ground_truth_reason
ORD00001,PAY00001,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00002,PAY00002,refund_match,MATCHED_AFTER_REFUND,₹9125.0 refunded (25%); settlement reflects fee on net amount.
ORD00003,PAY00003,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00004,PAY00004,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 2 day(s) after payment."
ORD00005,PAY00005,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00006,PAY00006,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00007,PAY00007,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00008,PAY00008,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00009,PAY00009,missing_settlement,UNRESOLVED_MISSING_SETTLEMENT,Payment was captured but no settlement record arrived within the expected window.
ORD00010,PAY00010,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00011,PAY00011,refund_match,MATCHED_AFTER_REFUND,₹787.5 refunded (50%); settlement reflects fee on net amount.
ORD00012,PAY00012,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 3 day(s) after payment."
ORD00013,PAY00013,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00014,PAY00014,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00015,PAY00015,refund_match,MATCHED_AFTER_REFUND,₹29769.0 refunded (100%); settlement reflects fee on net amount.
ORD00016,PAY00016,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 3 day(s) after payment."
ORD00017,PAY00017,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00018,PAY00018,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00019,PAY00019,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00020,PAY00020,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
